respondent_id,persona,mojo_driver,sdt_stage,A1_role,A2_department,A3_tenure,A4_ai_experience,B1_ai_improves_quality,B2_interested_in_learning,B3_motivated_to_experiment,B4_aligns_with_values,B5_use_because_expected_REVERSE,B5_scored,C1_sufficient_time,C2_manager_support,C3_tool_access,C4_clear_guidelines,C5_peer_learning,D1_confident_using_ai,D2_prompt_writing,D3_evaluate_output,D4_understand_limits,D5_know_when_to_use,E1_improved_productivity,E2_improved_quality,E3_concrete_examples,E4_team_benefit,E5_positive_impact,MOJO_M_score,MOJO_O_score,MOJO_J_score,MOJO_Outcome_score,F1_biggest_challenge,F2_helpful_situation,F3_what_would_help,G1_adoption_stage
R094,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,HR,3–5 years,1–2 years,2,2,2,2,4,2,3,2,3,3,3,3,2,2,3,3,3,2,2,2,1,2.0,2.8,2.6,2.0,I'm not convinced the accuracy is good enough for our compliance environment. One hallucinated fact in a legal document is a serious problem.,I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,More transparency about how these models work and what data they use. Trust requires understanding.,Use occasionally
R160,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Engineering,More than 5 years,3–12 months,1,2,1,2,4,2,3,4,4,3,3,2,3,2,4,2,1,2,2,1,2,1.6,3.4,2.6,1.6,Using AI on my work makes me feel like my expertise and judgment are being replaced by a shortcut. That's demoralizing.,My team was required to use AI for a process improvement project and the initial output was actually good. But we were given no context for how it worked.,Make the case with real evidence from our organization — not just industry benchmarks or vendor marketing. Show me AI made things better here.,Active advocate / AI champion
R070,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Operations,1–3 years,Less than 3 months,4,4,4,5,2,4,2,2,3,2,3,3,4,4,3,3,3,2,3,2,4,4.2,2.4,3.4,2.8,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.",I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,A formal learning program with structure would help enormously. Right now self-directed learning isn't happening because there's no space for it.,"Tried a few, don't use regularly"
R143,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Executive,Marketing,Less than 1 year,Not at all,3,3,3,4,3,3,3,3,4,2,3,1,2,2,2,2,2,1,2,2,1,3.2,3.0,1.8,1.6,I'd like to use AI for my work but I genuinely don't know how to write a prompt that gets good results.,I used AI to answer a customer's complex question and the response was accurate and faster than looking it up myself.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.","Tried a few, don't use regularly"
R046,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Executive,Sales,1–3 years,Less than 3 months,4,3,3,4,3,3,2,1,2,1,2,3,3,4,2,3,2,2,3,1,4,3.4,1.6,3.0,2.4,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.","During a hackathon, I used AI to prototype a workflow and it worked. But I haven't been able to apply it since because of tool restrictions.","Faster IT procurement. If a tool is safe to use, we should be able to access it within days, not months.","Tried a few, don't use regularly"
R017,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Product,3–5 years,3–12 months,4,4,4,5,1,5,4,3,4,4,4,4,3,5,4,5,4,4,3,4,4,4.4,3.8,4.2,3.8,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,"I now use AI for every first draft: emails, proposals, code reviews. It's multiplied my output by at least 40%.",Executive-level commitment that signals this is a strategic priority — not just a productivity experiment.,Active advocate / AI champion
R052,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Operations,More than 5 years,Less than 3 months,3,3,4,3,2,4,3,2,2,1,1,4,4,3,3,4,3,2,3,2,2,3.4,1.8,3.6,2.4,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,A formal learning program with structure would help enormously. Right now self-directed learning isn't happening because there's no space for it.,"Tried a few, don't use regularly"
R126,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Director+,Engineering,3–5 years,3–12 months,3,4,3,3,4,2,3,2,4,3,2,2,2,3,2,3,2,3,3,2,2,3.0,2.8,2.4,2.4,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,I tried using it to summarize a long competitor report and it worked well enough that I've done it a few more times since.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,"Tried a few, don't use regularly"
R097,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,HR,3–5 years,Not at all,3,1,2,1,4,2,4,4,3,2,3,3,2,5,3,2,3,3,3,2,3,1.8,3.2,3.0,2.8,My concern is around data privacy — I don't feel comfortable putting sensitive work content into third-party systems.,I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,"Tried a few, don't use regularly"
R057,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,HR,More than 5 years,More than 2 years,4,4,5,4,1,5,1,3,2,1,2,2,2,3,3,3,1,3,4,3,3,4.4,1.8,2.6,2.8,"The biggest blocker is clarity: no one has told us which tools are approved, which data we can feed into them, or what counts as acceptable use.",I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,A small internal grant or stipend for individuals or teams to experiment with approved AI tools in their workflow.,"Tried a few, don't use regularly"
R098,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Finance,3–5 years,1–2 years,3,1,3,3,3,3,3,4,3,2,3,2,2,4,3,3,3,3,3,2,2,2.6,3.0,2.8,2.6,My concern is around data privacy — I don't feel comfortable putting sensitive work content into third-party systems.,"I use it sometimes for initial research on unfamiliar topics, like a smarter search engine. That part is genuinely useful.",Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,"Tried a few, don't use regularly"
R121,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Sales,Less than 1 year,Less than 3 months,4,4,4,3,3,3,3,3,4,4,3,1,2,2,2,2,2,2,4,2,3,3.6,3.4,1.8,2.6,Every time I try to use an AI tool I get inconsistent results and I don't know why. I can't tell if I'm doing something wrong.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"Structured, role-specific training — not general overviews but actual use cases relevant to my job. Show me exactly how to do the things I need.","Tried a few, don't use regularly"
R144,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Operations,Less than 1 year,1–2 years,4,3,3,3,3,3,3,3,2,3,4,1,2,3,3,1,3,2,3,2,3,3.2,3.0,2.0,2.6,I don't understand the difference between different AI tools and when to use which. It all blurs together for me.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,Regular part of daily workflow
R031,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Marketing,Less than 1 year,3–12 months,4,4,4,4,4,2,3,3,3,3,2,4,1,3,3,3,3,3,2,3,3,3.6,2.8,2.8,2.8,"I need manager approval to use AI on anything client-related, and the process takes weeks. By then the deadline has passed.",I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Regular part of daily workflow
R010,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Product,1–3 years,1–2 years,5,4,4,4,2,4,4,3,4,4,3,4,4,4,5,3,3,5,5,4,5,4.2,3.6,4.0,4.4,"The main friction is organizational, not technical — getting buy-in for new workflows takes longer than building them.","I now use AI for every first draft: emails, proposals, code reviews. It's multiplied my output by at least 40%.",Dedicated sandbox environments where teams can test AI integrations without compliance risk.,Active advocate / AI champion
R173,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Director+,Operations,Less than 1 year,3–12 months,2,3,1,2,4,2,2,4,4,3,3,3,3,1,2,2,2,2,2,1,1,2.0,3.2,2.2,1.6,There's a lot of pressure to adopt AI quickly without any support for actually doing it well. It feels rushed.,"When I use AI on tasks I don't care about — like generating status update templates — it's fine. On work I care about, I'd rather do it myself.","Less mandating, more inviting. Make AI adoption something I could genuinely want, not something imposed on me.",Use occasionally
R061,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Design,1–3 years,Less than 3 months,3,4,3,4,2,4,2,2,2,2,2,2,3,3,4,3,2,3,3,3,2,3.6,2.0,3.0,2.6,I genuinely want to use AI more but simply don't have time built into my schedule to explore it. My days are back-to-back meetings.,"During a hackathon, I used AI to prototype a workflow and it worked. But I haven't been able to apply it since because of tool restrictions.","We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.","Tried a few, don't use regularly"
R019,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Engineering,More than 5 years,More than 2 years,4,4,4,4,2,4,3,4,3,4,4,4,3,5,4,3,4,4,4,4,5,4.0,3.6,3.8,4.2,"Keeping up with how fast these tools are evolving is genuinely challenging. By the time I master one capability, three more emerge.",I generate meeting summaries with action items automatically now. My team doesn't have to take notes anymore.,"A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Regular part of daily workflow
R149,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Operations,More than 5 years,Less than 3 months,2,2,1,2,5,1,5,4,3,4,3,2,3,2,3,3,2,2,2,2,2,1.6,3.8,2.6,2.0,I'm worried about what AI adoption actually means for my role long-term. That anxiety makes it hard to engage genuinely.,I used AI to help onboard a new team member faster — the training materials it generated were decent and saved some time.,"Less mandating, more inviting. Make AI adoption something I could genuinely want, not something imposed on me.",Use occasionally
R174,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Engineering,3–5 years,Less than 3 months,1,1,2,2,5,1,3,3,4,3,4,2,2,3,3,2,2,2,2,2,2,1.4,3.4,2.4,2.0,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,The one time AI felt genuinely useful was when I asked it to identify gaps in a policy document. That felt like an appropriate use.,Give me autonomy. Let me decide when AI is appropriate for my work rather than telling me I have to use it everywhere.,Use occasionally
R110,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Product,More than 5 years,3–12 months,3,4,3,4,2,4,3,2,3,2,4,2,2,1,2,2,2,2,3,2,3,3.6,2.8,1.8,2.4,I want to learn but I don't know where to start. There are so many AI tools and I can't tell which ones are actually worth my time.,I tried using it to summarize a long competitor report and it worked well enough that I've done it a few more times since.,A starter kit: here are the 3–5 things someone in your role should know how to do with AI. Give me a starting point.,Use occasionally
R056,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Finance,3–5 years,Less than 3 months,4,4,4,4,2,4,1,1,2,1,1,3,3,3,2,2,2,3,1,3,2,4.0,1.2,2.6,2.2,"There's no official training available, and when I try to learn on my own, I don't have the time to apply it before I forget.",I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Use occasionally
R141,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Engineering,Less than 1 year,3–12 months,3,3,4,4,3,3,3,3,5,3,3,2,3,2,2,2,2,3,3,3,3,3.4,3.4,2.2,2.8,I don't understand the difference between different AI tools and when to use which. It all blurs together for me.,A colleague showed me how to use AI for creating presentation outlines. I've done it twice now and it has helped me get started faster.,More examples. I learn best by seeing real examples of how someone like me is actually using AI in their day-to-day work.,"Tried a few, don't use regularly"
R127,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Operations,More than 5 years,3–12 months,4,4,3,3,4,2,4,3,3,2,3,1,3,2,2,2,3,2,2,2,2,3.2,3.0,2.0,2.2,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"A simple decision tree: if you want to do X task, use this tool and this prompt. Remove the paralysis of too many options.","Tried a few, don't use regularly"
R067,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Engineering,More than 5 years,3–12 months,4,4,5,4,3,3,2,3,1,1,3,2,3,4,5,2,2,2,3,2,4,4.0,2.0,3.2,2.6,"The biggest blocker is clarity: no one has told us which tools are approved, which data we can feed into them, or what counts as acceptable use.",I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,Leadership needs to explicitly communicate that AI experimentation is encouraged and that mistakes are okay as part of learning.,Use occasionally
R030,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Marketing,More than 5 years,1–2 years,4,5,4,5,2,4,5,5,4,4,4,4,3,4,4,3,5,4,4,4,4,4.4,4.4,3.6,4.2,I want to do more with AI than our current infrastructure allows. We're behind on compute and API access.,I generate meeting summaries with action items automatically now. My team doesn't have to take notes anymore.,Better integration between our existing tools and AI APIs. Right now I have to do a lot of copy-paste that should be automated.,Use occasionally
R118,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Director+,HR,1–3 years,3–12 months,4,3,3,4,4,2,3,3,4,3,3,3,2,1,1,3,2,3,2,3,2,3.2,3.2,2.0,2.4,I tried a few tools based on recommendations from colleagues but couldn't get results that felt useful or reliable.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"Structured, role-specific training — not general overviews but actual use cases relevant to my job. Show me exactly how to do the things I need.",Use occasionally
R066,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Marketing,More than 5 years,Less than 3 months,5,4,4,5,2,4,3,2,3,2,2,4,3,4,3,2,1,3,3,3,3,4.4,2.4,3.2,2.6,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.","When I did have access for a week during a trial, AI helped me turn raw meeting notes into a polished executive summary in minutes.",Leadership needs to explicitly communicate that AI experimentation is encouraged and that mistakes are okay as part of learning.,Use occasionally
R068,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Finance,More than 5 years,3–12 months,4,4,3,4,2,4,2,3,1,2,2,4,3,3,3,3,3,2,4,3,3,3.8,2.0,3.2,3.0,There's no internal resource or person I can ask when I get stuck. I'm trying to figure it out alone and it's slow going.,I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Use occasionally
R032,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Sales,3–5 years,Less than 3 months,3,4,3,4,2,4,1,3,3,2,2,4,4,3,3,3,3,3,3,3,2,3.6,2.2,3.4,2.8,I genuinely want to use AI more but simply don't have time built into my schedule to explore it. My days are back-to-back meetings.,"When I did have access for a week during a trial, AI helped me turn raw meeting notes into a polished executive summary in minutes.","My manager needs to visibly model AI use — right now it feels like a personal experiment, not a team priority.",Use occasionally
R013,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Director+,Product,3–5 years,1–2 years,4,4,4,4,1,5,4,4,4,5,5,4,4,5,4,4,4,4,4,5,4,4.2,4.4,4.2,4.2,Getting approval to use AI-generated outputs in client-facing work is still a slow process — we need clearer policy guardrails.,"I now use AI for every first draft: emails, proposals, code reviews. It's multiplied my output by at least 40%.",Executive-level commitment that signals this is a strategic priority — not just a productivity experiment.,Use occasionally
R042,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Finance,1–3 years,3–12 months,3,4,4,4,3,3,3,2,2,2,2,3,3,3,4,5,3,4,3,3,4,3.6,2.2,3.6,3.4,"I want to use AI for data analysis but don't have access to the right tools, and our IT procurement process is very slow.",I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,"My manager needs to visibly model AI use — right now it feels like a personal experiment, not a team priority.",Regular part of daily workflow
R125,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Marketing,1–3 years,3–12 months,3,3,4,4,3,3,3,3,3,3,3,1,2,2,3,1,3,2,4,2,3,3.4,3.0,1.8,2.8,The learning curve feels steep. I'm not a technical person and a lot of the training content assumes you already have some background.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"Regular drop-in sessions where I can ask questions and get help in real time, not just asynchronous courses.","Tried a few, don't use regularly"
R101,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,Marketing,1–3 years,Less than 3 months,3,3,2,3,4,2,3,2,3,3,2,2,4,3,4,3,3,3,1,3,3,2.6,2.6,3.2,2.6,The outputs feel generic and don't reflect the nuance my domain requires. It's not useful for high-stakes decisions.,"I use it sometimes for initial research on unfamiliar topics, like a smarter search engine. That part is genuinely useful.",Address the accuracy problem first. Hallucinations and confident errors are a dealbreaker in my field — no amount of training will help if the outputs can't be trusted.,"Tried a few, don't use regularly"
R162,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Executive,Marketing,3–5 years,3–12 months,1,1,2,2,4,2,3,3,3,3,3,2,2,2,3,3,2,2,2,1,2,1.6,3.0,2.4,1.8,Using AI on my work makes me feel like my expertise and judgment are being replaced by a shortcut. That's demoralizing.,"When I use AI on tasks I don't care about — like generating status update templates — it's fine. On work I care about, I'd rather do it myself.","I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.","Tried a few, don't use regularly"
R133,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Product,1–3 years,Less than 3 months,4,3,3,4,2,4,3,3,4,3,3,2,2,1,3,1,3,2,3,2,3,3.6,3.2,1.8,2.6,I don't understand the difference between different AI tools and when to use which. It all blurs together for me.,I tried using it to summarize a long competitor report and it worked well enough that I've done it a few more times since.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.",Use occasionally
R091,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Executive,Sales,More than 5 years,3–12 months,2,3,2,2,4,2,3,3,3,3,4,2,2,4,2,1,2,2,3,2,3,2.2,3.2,2.2,2.4,I've tried several tools and haven't seen results that justify the time investment to learn them properly.,"If AI could reliably handle our compliance documentation accurately, that would be a meaningful time savings — but accuracy needs to improve first.",Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,Regular part of daily workflow
R039,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,HR,1–3 years,Less than 3 months,4,3,4,4,3,3,3,2,3,3,2,3,3,2,3,2,2,2,2,3,2,3.6,2.6,2.6,2.2,"I need manager approval to use AI on anything client-related, and the process takes weeks. By then the deadline has passed.",I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,Just give us the time. Even one hour per week of protected learning time would make a massive difference.,Regular part of daily workflow
R170,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Engineering,More than 5 years,Less than 3 months,2,1,3,3,4,2,4,2,3,3,3,3,2,3,2,2,2,2,2,1,2,2.2,3.0,2.4,1.8,I'm worried about what AI adoption actually means for my role long-term. That anxiety makes it hard to engage genuinely.,"There are cases where AI is clearly useful — summarizing long documents, generating boilerplate. I don't object to those. It's the forced use I resist.",Involve employees in the rollout decisions. We were not consulted about which tools to adopt or how to integrate them.,Active advocate / AI champion
R116,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Sales,1–3 years,Less than 3 months,3,2,4,4,3,3,2,3,3,3,5,1,2,2,2,4,2,3,3,2,2,3.2,3.2,2.2,2.4,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,Someone I can ask dumb questions to without feeling judged. Right now there's no one to go to when I'm stuck.,Use occasionally
R172,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,HR,3–5 years,3–12 months,2,2,3,2,4,2,3,3,3,3,3,2,3,2,4,2,1,2,2,1,2,2.2,3.0,2.6,1.6,"I use AI because my manager tracks it, not because I find it valuable. That's a frustrating position to be in.","Honestly, I've found AI helpful for a few administrative tasks — scheduling, formatting, that kind of thing. But not for the work I care about.","Give me a voice in what 'good AI adoption' looks like for my role. Right now this is happening to us, not with us.",Use occasionally
R157,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,HR,More than 5 years,1–2 years,2,2,1,2,4,2,4,4,3,3,4,2,2,3,3,1,3,1,2,2,2,1.8,3.6,2.2,2.0,The tool we're required to use doesn't match how I actually work. It feels like a solution looking for a problem.,"I used AI for a mandatory deliverable and it technically met the requirement, but I didn't feel like it represented my best work.",Make the case with real evidence from our organization — not just industry benchmarks or vendor marketing. Show me AI made things better here.,Use occasionally
